Имя объекта;Тип объекта;Синоним;Файл
РегистрСведений.ВидыМинимальныхЦенСтруктурныхЕдиниц;РегистрСведений;Види мінімальних цін структурних одиниць;РегистрСведений_ВидыМинимальныхЦенСтруктурныхЕдиниц.md
РегистрСведений.ВидыРесурсовПредприятия;РегистрСведений;Види ресурсів підприємства;РегистрСведений_ВидыРесурсовПредприятия.md
РегистрСведений.ВременныеИдентификаторыЗапросов;РегистрСведений;Тимчасові ідентифікатори запитів;РегистрСведений_ВременныеИдентификаторыЗапросов.md
РегистрСведений.ВыполнениеПравилРабочегоПроцесса;РегистрСведений;Виконання правил робочого процесу;РегистрСведений_ВыполнениеПравилРабочегоПроцесса.md
РегистрСведений.ГрафикВыполненияЗаказов;РегистрСведений;Графік виконання замовлень;РегистрСведений_ГрафикВыполненияЗаказов.md
РегистрСведений.ГрафикиРаботы;РегистрСведений;Графіки роботи;РегистрСведений_ГрафикиРаботы.md
РегистрСведений.ГрафикиРаботыРесурсов;РегистрСведений;Графіки роботи ресурсів;РегистрСведений_ГрафикиРаботыРесурсов.md
РегистрСведений.ГрафикиРаботыСтруктурныхЕдиниц;РегистрСведений;Графіки роботи структурних одиниць;РегистрСведений_ГрафикиРаботыСтруктурныхЕдиниц.md
РегистрСведений.ГрафикОплатыЗаказов;РегистрСведений;Графік оплати замовлень;РегистрСведений_ГрафикОплатыЗаказов.md
РегистрСведений.ГрафикПлатежей;РегистрСведений;Графік платежів;РегистрСведений_ГрафикПлатежей.md
РегистрСведений.ГрафикПогашенияКредитовИЗаймов;РегистрСведений;Графік погашення кредитів і позик;РегистрСведений_ГрафикПогашенияКредитовИЗаймов.md
РегистрСведений.ГруппыЗначенийДоступа;РегистрСведений;Групи значень доступу;РегистрСведений_ГруппыЗначенийДоступа.md
РегистрСведений.ДампыПлатформы;РегистрСведений;Дампи платформи;РегистрСведений_ДампыПлатформы.md
РегистрСведений.ДанныеАвторизацииGoogle;РегистрСведений;Дані авторизації Google;РегистрСведений_ДанныеАвторизацииGoogle.md
РегистрСведений.ДанныеЗаписейКалендаряGoogle;РегистрСведений;Дані записів календаря google;РегистрСведений_ДанныеЗаписейКалендаряGoogle.md
РегистрСведений.ДанныеЗвонков;РегистрСведений;Дані дзвінків;РегистрСведений_ДанныеЗвонков.md
РегистрСведений.ДанныеЗвонковЛогирование;РегистрСведений;Дані дзвінків логування;РегистрСведений_ДанныеЗвонковЛогирование.md
РегистрСведений.ДанныеОбработанныеВЦентральномУзлеРИБ;РегистрСведений;Дані оброблені в центральному вузлі РІБ;РегистрСведений_ДанныеОбработанныеВЦентральномУзлеРИБ.md
РегистрСведений.ДанныеОбъектовДляРегистрацииВОбменах;РегистрСведений;Дані об`єктів для реєстрації в обмінах;РегистрСведений_ДанныеОбъектовДляРегистрацииВОбменах.md
РегистрСведений.ДанныеПроизводственногоКалендаря;РегистрСведений;Дані виробничого календаря;РегистрСведений_ДанныеПроизводственногоКалендаря.md
РегистрСведений.ДанныеСайта;РегистрСведений;Дані сайту;РегистрСведений_ДанныеСайта.md
РегистрСведений.ДатыВыполненияИсправленийПоРазделам;РегистрСведений;Дати виконання виправлень по розділах;РегистрСведений_ДатыВыполненияИсправленийПоРазделам.md
РегистрСведений.ДатыЗапретаИзменения;РегистрСведений;Дати заборони зміни (завантаження) даних;РегистрСведений_ДатыЗапретаИзменения.md
РегистрСведений.ДатыИзмененныхДокументов;РегистрСведений;Дати змінених документів;РегистрСведений_ДатыИзмененныхДокументов.md
РегистрСведений.ДвоичныеДанныеФайлов;РегистрСведений;Двійкові дані файлів;РегистрСведений_ДвоичныеДанныеФайлов.md
РегистрСведений.ДействующиеПравилаРасчетаПремий;РегистрСведений;Діючі правила розрахунку премій;РегистрСведений_ДействующиеПравилаРасчетаПремий.md
РегистрСведений.ДлительныеОперации;РегистрСведений;Тривалі операції;РегистрСведений_ДлительныеОперации.md
РегистрСведений.ДокументыФизическихЛиц;РегистрСведений;Документи фізичних осіб;РегистрСведений_ДокументыФизическихЛиц.md
РегистрСведений.ДополнительныеСведения;РегистрСведений;Додаткові відомості;РегистрСведений_ДополнительныеСведения.md
РегистрСведений.ДоступныеЛицензии;РегистрСведений;Доступні ліцензії;РегистрСведений_ДоступныеЛицензии.md
РегистрСведений.ЗависимостиПравДоступа;РегистрСведений;Залежності прав доступу;РегистрСведений_ЗависимостиПравДоступа.md
РегистрСведений.ЗаданияОбменаСGoogle;РегистрСведений;Завдання обміну з Google;РегистрСведений_ЗаданияОбменаСGoogle.md
РегистрСведений.ЗаказыПокупателейССайта;РегистрСведений;Замовлення покупців з сайту;РегистрСведений_ЗаказыПокупателейССайта.md
РегистрСведений.ЗамерыВремени;РегистрСведений;Виміри часу;РегистрСведений_ЗамерыВремени.md
РегистрСведений.ЗамерыВремениТехнологические;РегистрСведений;Виміри часу технологічні;РегистрСведений_ЗамерыВремениТехнологические.md
РегистрСведений.ЗамерыКомментарииСтатистики;РегистрСведений;Виміри коментарі статистики;РегистрСведений_ЗамерыКомментарииСтатистики.md
РегистрСведений.ЗамерыОбластиСтатистики;РегистрСведений;Виміри області статистики;РегистрСведений_ЗамерыОбластиСтатистики.md
РегистрСведений.ЗамерыОперацииСтатистики;РегистрСведений;Виміри операції статистики;РегистрСведений_ЗамерыОперацииСтатистики.md
РегистрСведений.ЗамерыСтатистики;РегистрСведений;Виміри статистики;РегистрСведений_ЗамерыСтатистики.md
РегистрСведений.ЗанятыеЛицензии;РегистрСведений;Зайняті ліцензії;РегистрСведений_ЗанятыеЛицензии.md
РегистрСведений.ЗаполненностьСвойствКатегорий;РегистрСведений;Заповненість властивостей категорій;РегистрСведений_ЗаполненностьСвойствКатегорий.md
РегистрСведений.ЗапросыРазрешенийНаИспользованиеВнешнихРесурсов;РегистрСведений;Запити дозволів на використання зовнішніх ресурсів;РегистрСведений_ЗапросыРазрешенийНаИспользованиеВнешнихРесурсов.md
РегистрСведений.ЗапросыРазрешенийНаИспользованиеВнешнихРесурсовВМоделиСервиса;РегистрСведений;Запити дозволів на використання зовнішніх ресурсів у моделі сервісу;РегистрСведений_ЗапросыРазрешенийНаИспользованиеВнешнихРесурсовВМоделиСервиса.md
РегистрСведений.ЗапросыРазрешенийНаИспользованиеВнешнихРесурсовОбластейДанных;РегистрСведений;Запити дозволів на використання зовнішніх ресурсів областей даних;РегистрСведений_ЗапросыРазрешенийНаИспользованиеВнешнихРесурсовОбластейДанных.md
РегистрСведений.ЗапущенныеОбработчикиОчередиЗаданий;РегистрСведений;Запущені обробники черги завдань;РегистрСведений_ЗапущенныеОбработчикиОчередиЗаданий.md
РегистрСведений.ЗаявленияНаВыпускСертификата;РегистрСведений;Заяви на випуск сертифікату;РегистрСведений_ЗаявленияНаВыпускСертификата.md
РегистрСведений.ЗначенияГруппДоступа;РегистрСведений;Значення груп доступу;РегистрСведений_ЗначенияГруппДоступа.md
РегистрСведений.ЗначенияГруппДоступаПоУмолчанию;РегистрСведений;Значення груп доступу за замовчуванням;РегистрСведений_ЗначенияГруппДоступаПоУмолчанию.md
РегистрСведений.ЗначенияНоменклатурыПоУмолчанию;РегистрСведений;Значення номенклатури і категорій за замовчуванням;РегистрСведений_ЗначенияНоменклатурыПоУмолчанию.md
РегистрСведений.ИдентификаторыОбъектовВерсийРасширений;РегистрСведений;Ідентифікатори об`єктів версій розширень;РегистрСведений_ИдентификаторыОбъектовВерсийРасширений.md
РегистрСведений.ИдентификаторыПисемДляОтложеннойПривязки;РегистрСведений;Ідентифікатори листів для відкладеної прив`язки;РегистрСведений_ИдентификаторыПисемДляОтложеннойПривязки.md
РегистрСведений.ИдентификаторыРассылок;РегистрСведений;Ідентифікатори розсилок;РегистрСведений_ИдентификаторыРассылок.md
РегистрСведений.ИдентификаторыСобытий;РегистрСведений;Ідентифікатори подій;РегистрСведений_ИдентификаторыСобытий.md
РегистрСведений.ИдентификаторыСообщений;РегистрСведений;Ідентифікатори повідомлень;РегистрСведений_ИдентификаторыСообщений.md
РегистрСведений.ИерархияНоменклатуры;РегистрСведений;Ієрархія номенклатури;РегистрСведений_ИерархияНоменклатуры.md
РегистрСведений.ИзмененияЗакрытогоМесяца;РегистрСведений;Зміни закритого місяця;РегистрСведений_ИзмененияЗакрытогоМесяца.md
РегистрСведений.ИзмененияОбщихДанныхУзлов;РегистрСведений;Зміни загальних даних вузлів;РегистрСведений_ИзмененияОбщихДанныхУзлов.md
РегистрСведений.ИнкрементнаяСинхронизация;РегистрСведений;Інкрементна синхронізація;РегистрСведений_ИнкрементнаяСинхронизация.md
РегистрСведений.ИнкрементнаяСинхронизацияПочты;РегистрСведений;Інкрементна синхронізація пошти;РегистрСведений_ИнкрементнаяСинхронизацияПочты.md
РегистрСведений.ИнцидентыОткрытые;РегистрСведений;Інциденти відкриті;РегистрСведений_ИнцидентыОткрытые.md
РегистрСведений.ИнцидентыОтложенныеПроверки;РегистрСведений;Інциденти відкладені перевірки;РегистрСведений_ИнцидентыОтложенныеПроверки.md
РегистрСведений.ИсключенияПрайсЛистов;РегистрСведений;Виключення в прайс-листах;РегистрСведений_ИсключенияПрайсЛистов.md
РегистрСведений.ИспользованиеДополнительныхОтчетовИОбработокСервисаВАвтономномРабочемМесте;РегистрСведений;Використання додаткових звітів і обробок сервісу в автономному робочому місці;РегистрСведений_ИспользованиеДополнительныхОтчетовИОбработокСервисаВАвтономномРабочемМесте.md
РегистрСведений.ИспользованиеПоставляемыхДополнительныхОтчетовИОбработокВОбластяхДанных;РегистрСведений;Використання додаткових звітів і обробок, що поставляються, в областях даних;РегистрСведений_ИспользованиеПоставляемыхДополнительныхОтчетовИОбработокВОбластяхДанных.md
РегистрСведений.ИспользованиеПоставляемыхРасширенийВОбластяхДанных;РегистрСведений;Використання розширень, що поставляються, в областях даних;РегистрСведений_ИспользованиеПоставляемыхРасширенийВОбластяхДанных.md
РегистрСведений.ИспользуемыеВидыДоступа;РегистрСведений;Види доступу, що використовуються.;РегистрСведений_ИспользуемыеВидыДоступа.md
РегистрСведений.ИспользуемыеВидыДоступаПоТаблицам;РегистрСведений;Види доступу за таблицями, що використовуються;РегистрСведений_ИспользуемыеВидыДоступаПоТаблицам.md
РегистрСведений.ИсторияГлобальногоПоиска;РегистрСведений;Історія глобального пошуку;РегистрСведений_ИсторияГлобальногоПоиска.md
РегистрСведений.ИсторияЗапускаЗаданийОчереди;РегистрСведений;Історія запуску завдань черги;РегистрСведений_ИсторияЗапускаЗаданийОчереди.md
РегистрСведений.ИсторияИзмененийЕдиницИзмерения;РегистрСведений;Історія змін одиниць виміру;РегистрСведений_ИсторияИзмененийЕдиницИзмерения.md
РегистрСведений.ИсторияСостоянийЗаказов;РегистрСведений;Історія станів замовлень;РегистрСведений_ИсторияСостоянийЗаказов.md
РегистрСведений.ИсторияСостоянийЛидов;РегистрСведений;Історія станів лідів;РегистрСведений_ИсторияСостоянийЛидов.md
РегистрСведений.КалендарныеГрафики;РегистрСведений;Календарні графіки;РегистрСведений_КалендарныеГрафики.md
РегистрСведений.КанбанЛидов;РегистрСведений;Канбан лідів;РегистрСведений_КанбанЛидов.md
РегистрСведений.КлючиДоступаВнешнихПользователей;РегистрСведений;Ключі доступу зовнішніх користувачів;РегистрСведений_КлючиДоступаВнешнихПользователей.md
РегистрСведений.КлючиДоступаГруппДоступа;РегистрСведений;Ключі доступу груп доступу;РегистрСведений_КлючиДоступаГруппДоступа.md
РегистрСведений.КлючиДоступаКОбъектам;РегистрСведений;Ключі доступу до об`єктів;РегистрСведений_КлючиДоступаКОбъектам.md
РегистрСведений.КлючиДоступаКРегистрам;РегистрСведений;Ключі доступу до регістрів;РегистрСведений_КлючиДоступаКРегистрам.md
РегистрСведений.КлючиДоступаНаборовГруппДоступа;РегистрСведений;Ключі доступу наборів груп доступу;РегистрСведений_КлючиДоступаНаборовГруппДоступа.md
РегистрСведений.КлючиДоступаПользователей;РегистрСведений;Ключі доступу користувачів;РегистрСведений_КлючиДоступаПользователей.md
РегистрСведений.КодировкиФайлов;РегистрСведений;Кодування файлів;РегистрСведений_КодировкиФайлов.md
РегистрСведений.КодыТоваровPLUНаОборудовании;РегистрСведений;Коди товарів PLU на обладнанні;РегистрСведений_КодыТоваровPLUНаОборудовании.md
РегистрСведений.КодыТоваровSKU;РегистрСведений;Коди товарів SKU;РегистрСведений_КодыТоваровSKU.md
РегистрСведений.КодыТоваровПодключаемогоОборудованияOffline;РегистрСведений;Коди товарів торгового обладнання offline;РегистрСведений_КодыТоваровПодключаемогоОборудованияOffline.md
РегистрСведений.КомментарииОперацииСтатистики;РегистрСведений;Коментарі операції статистики;РегистрСведений_КомментарииОперацииСтатистики.md
РегистрСведений.КомментарииСтатистики;РегистрСведений;Коментарі статистики;РегистрСведений_КомментарииСтатистики.md
РегистрСведений.КомплектацииПоУмолчанию;РегистрСведений;Комплектації за замовчуванням;РегистрСведений_КомплектацииПоУмолчанию.md
РегистрСведений.КонтактЦентрВходящее;РегистрСведений;Контакт центр вхідне;РегистрСведений_КонтактЦентрВходящее.md
РегистрСведений.КурсыВалют;РегистрСведений;Курси валют;РегистрСведений_КурсыВалют.md
РегистрСведений.КэшПереводов;РегистрСведений;Кеш перекладів;РегистрСведений_КэшПереводов.md
РегистрСведений.КэшПрограммныхИнтерфейсов;РегистрСведений;Кеш програмних інтерфейсів;РегистрСведений_КэшПрограммныхИнтерфейсов.md
РегистрСведений.МиграцияПриложенийОчередьЗагрузки;РегистрСведений;Міграція додатків черга завантаження;РегистрСведений_МиграцияПриложенийОчередьЗагрузки.md
